medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
792B8FB5A6254AEB85361BFA695F0510,327B0AA4F56094C0B4EF3E1F5144461D,CMT,1,N,2013-02-08 09:56:34,2013-02-08 10:02:59,1,385,1.60,-73.981544,40.781097,-73.969337,40.801899
6C576846F5635F896403A89F3B387882,6BFAAAF5F96C0A234DC46D72713B1C3D,CMT,1,N,2013-02-07 13:50:25,2013-02-07 14:06:36,3,970,5.20,-74.003609,40.707367,-73.977066,40.754082
AB5C67F14D61C5CBD7465E61F75B511B,1C8D23D743D0A9ADA8B68440EDFA0BED,CMT,1,N,2013-02-08 11:18:05,2013-02-08 11:22:34,1,269,.40,-74.003044,40.733379,-73.999016,40.734306
81EC004D7D8FCD841C77EA02A4F1C0DF,8F00CD45A3A71CE6C12149B4717D2E8A,CMT,1,N,2013-02-08 18:21:42,2013-02-08 18:33:49,1,726,2.10,-74.00676,40.726749,-73.999168,40.754402
9F16A18B589FC0B5721EE23BBB6B5404,ADA9AD996E3A740200E4A100AAE294E0,CMT,1,N,2013-02-08 00:42:10,2013-02-08 01:07:15,1,1504,4.90,-73.953064,40.77179,-73.987747,40.722775
F4D155E193082503952FFCE4E989AD25,12BE109118F28C61DF07B0A758ED9213,VTS,1,,2013-02-01 15:13:00,2013-02-01 15:22:00,1,540,1.34,-73.9981,40.740711,-73.992226,40.75378
41C18EC77A45A95B819BCD5E80B7F405,8B8BB5999EEE8CE6955E2F3F299079EB,VTS,1,,2013-02-01 13:35:00,2013-02-01 13:49:00,1,840,1.62,-73.967636,40.762737,-73.987816,40.7551
1A052D0501F70E8A989BA6BF44A72880,A7670D9D0938F9240CF09E12EF6C9680,VTS,1,,2013-02-01 15:04:00,2013-02-01 15:12:00,5,480,.77,-73.976578,40.751472,-73.982689,40.756596
9853E96A19363E0FCEFAF09DE5484858,E94C7154A5ABC203EF174C7FA088A0CB,VTS,1,,2013-02-01 15:06:00,2013-02-01 15:10:00,1,240,.79,-73.960854,40.777863,-73.95369,40.784893
